ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
828,3.27,2.55
829,3,0.68
830,2.36,2.21
831,3.5,1.27
832,3.5,0.96
833,4,0.53
834,3.83,0.62
835,2.3,2.42
836,3.64,2.03
837,2.3,1.68
838,2.26,2.28
839,2.26,1.75
840,2.89,2.28
841,2.53,1.22
842,2.53,0.93
843,3.41,3.75
844,2.96,2.5
845,2,1.83
846,4,2.97
847,2,1.56
848,1.75,1.17
849,3.9,3
850,2.36,2.37
851,2.08,0.62
852,3.43,2.84
853,3.15,2.45
854,3.83,3.25
855,3.73,3.12
856,2.63,2.98
857,3.63,2.81
858,3.8,2.7
859,4,2.62
860,2.76,2.15
861,2.66,2.08
862,1.94,1.71
863,2.13,1.62
864,2,0.19
865,3.83,3.2
866,2.8,2.62
867,3.41,2.6
868,3.37,2.39
869,2.53,2
870,2.53,1.29
871,2.52,3.06
872,3.63,2.77
873,3.52,3.18
874,3.18,2.65
875,2.5,2.47
876,2.46,2.45
877,3.57,2.36
878,3.24,2.1
879,4,3.5
880,3.88,3.05
881,2.66,2.87
882,2.85,2.64
883,2.81,1.47
884,3.51,1.12
885,3.62,1.09
886,3.6,0.75
887,2.44,1.59
888,2.44,1.58
889,3.51,3.37
890,2.55,1.98
891,2.41,1.98
892,2.89,1.86
893,2.41,1.8
894,2.89,1.62
895,3.25,1.45
896,3.25,1.6
897,2.89,1.5
898,2.82,1.33
899,3.25,0.75
900,2.41,0.5
901,2.05,2.63
902,2.05,2.28
903,2.81,2.17
904,2.81,2
905,2.5,1.98
906,2.5,1.95
907,2.71,1.75
908,2.71,1.55
909,3.6,2.5
910,3.34,2.2
911,3.12,2.92
912,3.66,3.43
913,3.87,3.88
914,2.18,2.77
915,1.78,2.53
916,3.94,3.12
917,3.12,2.75
918,2.88,0.75
919,3.48,2.45
920,3.12,3.7
921,3.5,3.34
922,3.73,3.29
923,3,3.2
924,3.37,3.14
925,3.68,2.95
926,2.65,2.53
927,2.71,1.67
928,2,1.18
929,3.89,2.97
930,3,2.78
931,1.5,2.03
932,1.5,1.85
933,2.12,1.1
934,1.5,0.48
935,2.62,2.28
936,3.62,2.95
937,3.64,2.92
938,3.58,2.69
939,2.93,1.98
940,2.93,0.93
941,2.08,2.7
942,3.62,2.47
943,2.38,1.21
944,3.36,3.31
945,4,3.23
946,3.83,3.17
947,2.72,2.65
948,2.48,2.64
949,3.63,2.53
950,3.01,2.53
951,3.01,2.5
952,2.58,2.39
953,3.23,2.34
954,2.4,2.25
955,2.77,2.13
956,3.92,2.03
957,2.72,1.92
958,3.07,1.89
959,3.07,1.86
960,2.32,1.78
961,2.77,1.62
962,3.01,1.58
963,2.62,1.58
964,1.66,1.21
965,2.1,0.8
966,2.12,0.64
967,3,2.45
968,2.92,2.63
969,2.92,2.34
970,3.07,3
971,3.07,2.53
972,3.25,2.5
973,3.41,1.83
974,2.05,1.65
975,3.08,1.34
976,3.08,1.25
977,3.73,0.94
978,3.73,0.25
979,1.93,0.25
980,2.64,0.15
981,3.48,3.84
982,3.56,3.48
983,3.66,3.17
984,3.68,3.06
985,3.54,2.7
986,2.25,2.43
987,2.67,2.12
988,2.67,1.65
989,2.25,1.58
990,2.18,2.64
991,2.47,2.48
992,3.94,2.34
993,2.68,2.31
994,2.47,1.98
995,3.72,3.03
996,3.89,2.75
997,3.37,1.78
998,2.65,1.75
999,2.65,1.67
1000,2.21,2.92
1001,2.91,2.5
1002,2.72,2.06
1003,2.54,2.03
